date,strategy,price,underlying_return,signal_target_margin_pct,effective_target_margin_pct,reference_equity,loan_change,loan_balance,asset_value,equity,strategy_return,actual_margin_pct,transaction_cost,interest_cost,maintenance_ratio,trade_direction
2017-07-03,current_raw_target,128.3936309814453,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,inf,0
2017-07-05,current_raw_target,129.65689086914062,0.009838960687059917,0.0,0.0,1000000.0,0.0,0.0,1009838.9606870599,1009838.9606870599,0.009838960687059917,0.0,0.0,0.0,inf,0
2017-07-06,current_raw_target,128.4878692626953,-0.009016270547665517,0.0,0.0,1000000.0,0.0,0.0,1000733.979407932,1000733.979407932,-0.009016270547665517,0.0,0.0,0.0,inf,0
2017-07-07,current_raw_target,129.87374877929688,0.010786072837491778,0.0,0.0,1000000.0,0.0,0.0,1011527.969000779,1011527.969000779,0.010786072837491778,0.0,0.0,0.0,inf,0
2017-07-10,current_raw_target,130.72227478027344,0.006533468148505639,0.0,0.0,1000000.0,0.0,0.0,1018136.7547675682,1018136.7547675682,0.006533468148505639,0.0,0.0,0.0,inf,0
2017-07-11,current_raw_target,131.0899200439453,0.002812414825934084,0.0,0.0,1000000.0,0.0,0.0,1021000.1776715049,1021000.1776715049,0.002812414825934084,0.0,0.0,0.0,inf,0
2017-07-12,current_raw_target,132.6454315185547,0.011865988430597163,0.0,0.0,1000000.0,0.0,0.0,1033115.3539673926,1033115.3539673926,0.011865988430597163,0.0,0.0,0.0,inf,0
2017-07-13,current_raw_target,132.93771362304688,0.002203484139227996,0.0,0.0,1000000.0,0.0,0.0,1035391.8072638527,1035391.8072638527,0.002203484139227996,0.0,0.0,0.0,inf,0
2017-07-14,current_raw_target,133.98411560058594,0.007871370350976514,0.0,0.0,1000000.0,0.0,0.0,1043541.7596371934,1043541.7596371934,0.007871370350976514,0.0,0.0,0.0,inf,0
2017-07-17,current_raw_target,134.05020141601562,0.0004932361954508302,0.0,0.0,1000000.0,0.0,0.0,1044056.4722045109,1044056.4722045109,0.0004932361954508302,0.0,0.0,0.0,inf,0
2017-07-18,current_raw_target,134.94578552246094,0.006680960543027581,0.0,0.0,1000000.0,0.0,0.0,1051031.772300002,1051031.772300002,0.006680960543027581,0.0,0.0,0.0,inf,0
2017-07-19,current_raw_target,135.73765563964844,0.005868061118927681,0.0,0.0,1000000.0,0.0,0.0,1057199.2909777933,1057199.2909777933,0.005868061118927681,0.0,0.0,0.0,inf,0
2017-07-20,current_raw_target,135.91680908203125,0.0013198507189369213,0.0,0.0,1000000.0,0.0,0.0,1058594.6362220498,1058594.6362220498,0.0013198507189369213,0.0,0.0,0.0,inf,0
2017-07-21,current_raw_target,135.8602294921875,-0.00041628103415525253,0.0,0.0,1000000.0,0.0,0.0,1058153.9633521321,1058153.9633521321,-0.00041628103415525253,0.0,0.0,0.0,inf,0
2017-07-24,current_raw_target,136.48248291015625,0.004580099859205156,0.0,0.0,1000000.0,0.0,0.0,1063000.4141706985,1063000.4141706985,0.004580099859205156,0.0,0.0,0.0,inf,0
2017-07-25,current_raw_target,136.13363647460938,-0.0025559795521635786,3.6,0.0,1000000.0,0.0,0.0,1060283.4068481368,1060283.4068481368,-0.0025559795521635786,0.0,0.0,0.0,inf,0
2017-07-26,current_raw_target,136.5767364501953,0.003254889732329902,4.3,3.6,1000000.0,36000.0,36000.0,1099820.692143875,1063820.692143875,0.0033361696249243344,3.384028931365365,25.2,5.714285714285714,3055.0574781774303,1
2017-07-27,current_raw_target,135.7188262939453,-0.006281524793666837,3.4,4.3,1000000.0,7000.0,43000.0,1099856.475906676,1056856.475906676,-0.0065464192308238855,4.068669774967349,4.9,6.825396825396825,2557.805757922502,1
2017-07-28,current_raw_target,135.60569763183594,-0.0008335517274836723,4.9,3.4,1000000.0,-9000.0,34000.0,1089935.499032726,1055935.499032726,-0.0008714304117404259,3.219893642286408,6.3,5.396825396825397,3205.6926442139,-1
2017-07-31,current_raw_target,135.03062438964844,-0.0042407749248767335,4.6,4.9,1000000.0,15000.0,49000.0,1100231.4830251809,1051231.4830251809,-0.004454832716443535,4.661199820518148,10.5,7.777777777777778,2245.3703735207773,1
2017-08-01,current_raw_target,135.34173583984375,0.002304006602958264,3.5,4.6,1051231.4830251809,-643.3517808416873,48356.64821915831,1102113.462516966,1053756.8142978076,0.002402259933615758,4.588976086610814,0.4503462465891811,7.675658447485446,2279.1353476817735,-1
2017-08-02,current_raw_target,135.70938110351562,0.0027164219624531416,5.0,3.5,1051231.4830251809,-11563.54631327698,36793.10190588133,1093498.3533018613,1056705.25139598,0.0027980242292782176,3.481869883515307,8.094482419293886,5.8401749056954495,2972.0200164125517,-1
2017-08-03,current_raw_target,135.18148803710938,-0.0038898789613047713,5.0,5.0,1051231.4830251809,15768.472245377714,52561.57415125905,1104932.5737587037,1052370.9996074445,-0.004101665798300513,4.994585955985634,11.0379305717644,8.343107008136357,2102.167965097439,1
2017-08-04,current_raw_target,135.42657470703125,0.001813019470939592,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1106927.4949219953,1054365.9207707362,0.0018956443725983707,4.985135911149025,0.0,8.343107008136357,2105.9633635334726,0
