strategy,start_date,end_date,trading_days,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,positive_day_rate,positive_month_rate,worst_day,trade_count,annual_trades,annual_turnover,whipsaw_count_5d,average_target_margin_pct,average_actual_margin_pct,max_actual_margin_pct,minimum_maintenance_ratio,interest_cost_pct_initial_equity,transaction_cost_pct_initial_equity,final_equity
no_margin,2017-07-03,2026-07-23,2276,4.389364072682489,0.20447146754275258,0.2334119811502959,0.9162474080784581,1.4642239276270965,-0.3511871722681683,0.5822293172673663,0.5637082601054482,0.6422018348623854,-0.11978774620854704,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,5389364.072682489
fixed_1pct,2017-07-03,2026-07-23,2276,4.450917273305194,0.2059831817392248,0.23580293085531237,0.9146786718118953,1.461778621472925,-0.3544884941703893,0.5810715583908809,0.5637082601054482,0.6422018348623854,-0.1210720703139131,109,12.038781372845479,0.00590579631926262,0,0.9995606326889279,0.9915566045808254,1.218242858733996,8308.543910852102,0.009315694549532048,9.739510205603113e-05,5450917.273305194
fixed_2pct,2017-07-03,2026-07-23,2276,4.5129733243339425,0.207491951188566,0.238195387547406,0.9131444007694342,1.4593903863296254,-0.3577870345736519,0.5799314428367106,0.5637082601054482,0.6422018348623854,-0.12235823737804963,109,12.038781372845479,0.011906876271204576,0,1.9991212653778558,1.9830298133565125,2.441807036683636,4195.327701889826,0.018762869682696408,0.0001977589323240195,5512973.3243339425
fixed_3pct,2017-07-03,2026-07-23,2276,4.575533434101172,0.20899776046595142,0.2405893617486755,0.911643612157081,1.4570576106381523,-0.36107422863036054,0.5788221476196987,0.5637082601054482,0.6422018348623854,-0.12364625140968433,109,12.038781372845479,0.01800318449932119,0,2.998681898066784,2.974420834724914,3.6707275129466974,2824.255604571543,0.028342530022351944,0.0003011349752714426,5575533.434101172
fixed_5pct,2017-07-03,2026-07-23,2276,4.702170452051875,0.21200043676038915,0.2453819050815724,0.9087387385803495,1.4525523015384483,-0.36761462230075626,0.5766920679965375,0.5637082601054482,0.6422018348623854,-0.12622783646909963,109,12.038781372845479,0.03048126218181287,0,4.997803163444639,4.956961154921203,6.14477881693485,1727.3978767861036,0.047903317438789596,0.0005170991180187824,5702170.452051875
current_raw_target,2017-07-03,2026-07-23,2276,4.538703098161447,0.20811309267967038,0.2372379406733233,0.9180532604251569,1.4680261679899058,-0.35356839836515486,0.5886077309000263,0.5637082601054482,0.6422018348623854,-0.11978774620854704,681,75.21477169640157,0.6500253142827929,323,2.628690685413005,2.5836557246900314,5.591255531584199,1888.507061340952,0.026875098395096168,0.010847150218357929,5538703.098161447
current_dynamic_state,2017-07-03,2026-07-23,2276,4.525644492490099,0.2077981669069171,0.23615516865598152,0.9200585974210995,1.47170651843283,-0.3529062766096823,0.588819697125262,0.5637082601054482,0.6422018348623854,-0.11978774620854715,182,20.101451466586028,0.19023635030476707,32,1.8611159929701229,1.8321548406846593,4.5895506599986255,2278.862538147252,0.019349694446054846,0.003172034689609897,5525644.492490099
return_alpha_raw,2017-07-03,2026-07-23,2276,4.424530645667417,0.20533700921182452,0.2338741554472756,0.9179790368543308,1.4675616418509225,-0.35118717226816887,0.5846939336811192,0.5637082601054482,0.6422018348623854,-0.11978774620854693,111,12.259676443906864,0.22777373241847762,81,0.23198594024604569,0.2274384755008589,4.239077246637814,2459.0039572719297,0.001962080639103284,0.0037485366560856934,5424530.645667417
return_alpha_dynamic,2017-07-03,2026-07-23,2276,4.399567715347747,0.2047231221179926,0.2337069365468657,0.9162821331707436,1.4645780354422007,-0.3511871722681691,0.5829458997484809,0.5637082601054482,0.6422018348623854,-0.11978774620854704,74,8.173117629271243,0.1405102885614868,46,0.1616871704745167,0.15818112126592385,4.137058636313243,2517.1762788722626,0.0013721739749974818,0.0023057138873597578,5399567.715347746
fixed_exposure_matched,2017-07-03,2026-07-23,2276,4.399282407644533,0.2047160912654773,0.23379846534613166,0.9159913857929103,1.4638246163226512,-0.35171963687654073,0.582043394231457,0.5637082601054482,0.6422018348623854,-0.1199952802038513,109,12.038781372845479,0.0009484316279661323,0,0.16161613041719042,0.1603276838265055,0.1966150468514367,50960.80724816576,0.0014973593222615941,1.5548138244747658e-05,5399282.407644533
