strategy,start_date,end_date,trading_days,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,positive_day_rate,positive_month_rate,worst_day,trade_count,annual_trades,annual_turnover,whipsaw_count_5d,average_target_margin_pct,average_actual_margin_pct,max_actual_margin_pct,minimum_maintenance_ratio,interest_cost_pct_initial_equity,transaction_cost_pct_initial_equity,final_equity
no_margin,2017-07-03,2026-07-23,2276,4.389363432190001,0.20447145173285386,0.23341186831214278,0.9162476802424124,1.464224459318956,-0.3511872227135182,0.5822291886161585,0.5637082601054482,0.6422018348623854,-0.11978796382192869,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,5389363.432190001
fixed_1pct,2017-07-03,2026-07-23,2276,4.440931396584323,0.2057389691637601,0.23580273748927208,0.9138177042125676,1.4603651287856707,-0.3546177091664072,0.5801711641739117,0.5637082601054482,0.6422018348623854,-0.12107315052905177,109,12.038781372845479,0.00590592834152766,0,0.9995606326889279,0.9915655616254065,1.2182542825226474,8308.466937865329,0.013957608278200707,0.0001945707480365535,5440931.396584323
fixed_2pct,2017-07-03,2026-07-23,2276,4.492791366646568,0.2070029320366682,0.23819515067905234,0.9114392142573214,1.4565908731594575,-0.35804430170153767,0.5781489359080035,0.5637082601054482,0.6422018348623854,-0.12236020348277532,109,12.038781372845479,0.011907405736410411,0,1.9991212653778558,1.9830656478462956,2.4418533356573966,4195.250052070714,0.02808008585675866,0.0003946260658810206,5492791.366646567
fixed_3pct,2017-07-03,2026-07-23,2276,4.544942300822847,0.20826332630020405,0.24058911855304485,0.9091107361659756,1.4528992602978321,-0.3614583900922571,0.5761751062053029,0.5637082601054482,0.6422018348623854,-0.1236491268308767,109,12.038781372845479,0.018004380654206387,0,2.998681898066784,2.9745014817086877,3.6708324860964474,2824.177700256208,0.04236820299344625,0.0006002316323613016,5544942.3008228475
fixed_5pct,2017-07-03,2026-07-23,2276,4.650112678328307,0.2107733527961544,0.2453817613629954,0.9045981995964577,1.4457547020723591,-0.3682491192864148,0.5723662101475937,0.5637082601054482,0.6422018348623854,-0.12623260136396242,109,12.038781372845479,0.03048461624086363,0,4.997803163444639,4.957185291447066,6.145073950239837,1727.3197167317587,0.07144439095474672,0.0010283571072569968,5650112.678328307
current_raw_target,2017-07-03,2026-07-23,2276,4.491116359876229,0.20696227396940392,0.2372380144507112,0.9140231546739338,1.4614369342529727,-0.35368822580393366,0.5851545481871173,0.5637082601054482,0.6422018348623854,-0.11978796382192869,681,75.21477169640157,0.6498129569730504,323,2.628690685413005,2.5838004097381977,5.591493882369408,1888.4308219545935,0.040099575322044154,0.021576318498349182,5491116.359876229
current_dynamic_state,2017-07-03,2026-07-23,2276,4.5010077863871185,0.20720221267215577,0.236155163256306,0.9179620673748673,1.4682806444942216,-0.35299364594092963,0.5869856725603192,0.5637082601054482,0.6422018348623854,-0.11978796382192869,182,20.101451466586028,0.1901982007676171,32,1.8611159929701229,1.8322178909654023,4.589692514528573,2278.795195613914,0.028945165705341263,0.006326062151679734,5501007.7863871185
return_alpha_raw,2017-07-03,2026-07-23,2276,4.405427524448255,0.20486745265102257,0.2352952677553559,0.912199410437334,1.4584630530045166,-0.35166870086038193,0.5825581069620359,0.5637082601054482,0.6422018348623854,-0.11978796382192858,431,47.60288781372845,0.8772828336872598,258,1.3369947275922671,1.3235275356086582,8.470685811938987,1280.5419563437856,0.019661300507959823,0.02887426535337148,5405427.524448255
return_alpha_dynamic,2017-07-03,2026-07-23,2276,4.433692420203977,0.20556168482406867,0.23491554860945574,0.915748915634206,1.4645324036042466,-0.35137553399015176,0.5850199144196252,0.5632688927943761,0.6422018348623854,-0.1197879638219288,259,28.605911702449347,0.4513850107474152,123,1.116432337434095,1.104018492624946,4.295846816552921,2427.82974510814,0.01626232268507828,0.014908309308439628,5433692.420203977
fixed_exposure_matched,2017-07-03,2026-07-23,2276,4.446954573501309,0.20588631842354865,0.23608121212455996,0.9135381514762738,1.4599213547371086,-0.35501731905124867,0.5799331676937931,0.5637082601054482,0.6422018348623854,-0.1212229090377187,109,12.038781372845479,0.006599780522760983,0,1.1159418135600023,1.107011578749449,1.360445183017799,7450.53504898857,0.015593425992380132,0.00021758028582211932,5446954.573501309
